conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,u_strength,c_strength,i_strength,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Battle of Wauhatchie,Hamilton County,TN,35.002,-85.38,1863,10,28,1863,10,29,1,1,,,,,,,420,,,,408,,,,,,,,
Battle of Waynesboro (Georgia),Waynesboro,GA,33.08972,-82.01583,1864,12,4,1864,12,4,1,1,6000,4000,,,,,190,,,,250,,,,,,,,
Battle of Waynesboro (Virginia),Augusta County,VA,38.0656,-78.8962,1865,3,2,1865,3,2,1,1,2500,1600,,,,,9,,,,1500,,,,,,,,
Battle of West Point,West Point,GA,32.876389,-85.173889,1865,4,16,1865,4,16,1,1,3750,265,,29,,7,36,28,,19,47,,,,,,,,
Battle of Westport,Westport,MO,39.03,-94.594444,1864,10,23,1864,10,23,1,1,22000,8500,,,,,1500,,,,1500,,,,,,,,
Battle of White Hall,Wayne County,NC,35.2272,-77.8464,1862,12,16,1862,12,16,1,4,30000,212,,,,,,,,,,,,,,,,,150
Battle of White Oak Road,Dinwiddie County,VA,37.148444,-77.519667,1865,3,31,1865,3,31,1,1,22000,8000,,,,,1870,,,,800,,,,,,,,
Battle of White Oak Swamp,Henrico County,VA,37.4708,-77.21025,1862,6,30,1862,6,30,1,4,,,,,,,100,12,,3,15,,,,,,,,
Battle of White Stone Hill,Dickey County,ND,46.1697,-98.8557,1863,9,3,1863,9,5,2,1,1200 soldiers,,600-1500,38,,22,60,,,,,,156,200,356,,,,
Battle of Whitney's Lane,White County,AR,35.24607547,-91.67576911,1862,5,19,1862,5,19,1,1,30000,1200,,,,,51,,,,10,,,,,,,,
Battle of Williamsburg,York County,VA,37.2642,-76.6659,1862,5,5,1862,5,5,1,4,40768,31823,,,,,2283,,,,1682,,,,,,,,
Battle of Williamsport,Washington County,MD,39.633333,-77.716667,1863,7,6,1863,7,16,1,4,Divisions,Divisions,,,,,,,,,,,,,,,,,1760
Battle of Wilmington,Wilmington,NC,34.1795,-77.954,1865,2,11,1865,2,22,1,1,12000,6000,,,,,305,,,,845,,,,,,,,
Battle of Wilson's Creek,Greene County,MO,37.101,-93.4078,1861,8,10,1861,8,10,1,2,5430,12120,,873,186,258,1317,945,,277,1232,,,,,,,,
Battle of Wilson's Wharf,Charles City,VA,37.3067,-76.9967,1864,5,24,1864,5,24,1,1,1100,2500,,40,,6,46,,,,200,,,,,,,,
Battle of Wood Lake,Yellow Medicine County,MN,44.701111,-95.435833,1862,9,23,1862,9,23,2,1,1169-2000,,700-1200,34,,7,41,,,,,,,7-15,7-15,,,,
Battle of Wyse Fork,Lenoir County,NC,35.224,-77.5297,1865,3,7,1865,3,10,1,1,12000,8500,,,,,1101,,,,1500,,,,,,,,
Battle of Yellow Bayou,Avoyelles Parish,LA,30.9985,-91.8668,1864,5,18,1864,5,18,1,1,,,,,,,360,,,,500,,,,,,,,
Battle of Yellow Tavern,Hanover County,VA,37.6599,-77.4552,1864,5,11,1864,5,11,1,1,12000,5000,,,,,625,,300,,300,,,,,,,,
Battle of the Boydton Plank Road,Dinwiddie County,VA,37.1431,-77.5116,1864,10,27,1864,10,28,1,4,30000,11691,,,,,1758,,,,1300,,,,,,,,
Battle of the Crater,Petersburg,VA,37.2183,-77.3777,1864,7,30,1864,7,30,1,2,8500,6100,,1881,1413,504,3798,727,403,361,1491,,,,,,,,
Battle of the Head of Passes,Plaquemines Parish,LA,29.157,-89.254,1861,10,12,1861,10,12,1,2,3 sloop-of-war 1 schooner 1 gunboat,1 ironclad 6 gunboats 3 fire ships,,,,,0,,,,0,,,,,,,,
Battle of the Wilderness,Spotsylvania County and Orange County,VA,38.3164,-77.7597,1864,5,5,1864,5,7,1,1,124232,65000,,12037,3383,2246,17666,7866,1690,1477,11033,,,,,,,,
Bear River Massacre,Franklin County,ID,42.146192,-111.914034,1863,1,29,1863,1,29,2,1,200,,300,46,,21,67,,,,,164,,246,410,,,,
Capture of New Orleans,New Orleans and St. Bernard Parish,LA,29.9575,-90.063056,1862,4,25,1862,5,1,1,1,,,,,,,0,,,,0,,,,,,,,
Capture of Tucson,Tucson,AZ,32.221667,-110.926389,1862,5,20,1862,5,20,1,1,2000,10,,,,,0,,,,,,,,,,,,
Chattanooga Campaign,Chattanooga,TN,35.045,-85.309,1863,9,21,1863,11,25,1,1,72533,48948,,4722,349,,5824,,,,8000,,,,,,,,
First Battle of Adobe Walls,Hutchinson County,TX,35.893683,-101.162044,1864,11,25,1864,11,25,2,4,409,,1400,25,,6,31,,,,,,,,60,,,,
First Battle of Auburn,Fauquier County,VA,38.7,-77.7,1863,10,13,1863,10,13,1,4,2000,3000,,,,,,,,,,,,,,,,,50
First Battle of Boonville,Boonville,MO,38.9765,-92.743,1861,6,17,1861,6,17,1,1,1700,1500,,7,,5,12,10,60-80,5,75-95,,,,,,,,
First Battle of Bull Run,Fairfax County,VA,38.8147,-77.5227,1861,7,21,1861,7,21,1,2,35732,34000,,1011,1216,481,2708,1582,13,387,1982,,,,,,,,
First Battle of Charleston Harbor,Charleston,SC,32.7526,-79.8745,1863,4,7,1863,4,7,1,2,2 ironclads 7 Monitors,2 ironclads 385 land-based guns,,21,,1,22,8,,5,13,,,,,,,,
First Battle of Chattanooga,Chattanooga,TN,35.0651,-85.3088,1862,6,7,1862,6,8,1,1,8000,,,,,,23,,,,65,,,,,,,,
First Battle of Dalton,Whitfield County,GA,34.8031,-85.0124,1864,2,22,1864,2,27,1,2,25000,40000,,,,,300,,,,140,,,,,,,,
First Battle of Deep Bottom,Henrico County,VA,37.4359,-77.2609,1864,7,27,1864,7,29,1,2,,,,340,86,62,488,391,208,80,679,,,,,,,,
First Battle of Donaldsonville,Ascension Parish,LA,30.1,-90.99,1862,8,9,1862,8,9,1,1,3 ships,,,,,,0,,,,0,,,,,,,,
First Battle of Dragoon Springs,Cochise County,AZ,31.997613,-110.022508,1862,5,5,1862,5,5,3,3,,,100,,,,,,,4,4,,,,,,,,
First Battle of Fort Fisher,New Hanover County,NC,33.9715,-77.918,1864,12,23,1864,12,27,1,2,,,,,,,,,,,,,,,,,,,320
First Battle of Fort Wagner,Charleston,SC,32.73,-79.871,1863,7,10,1863,7,11,1,2,2600,1770,,123,167,49,339,,,,12,,,,,,,,
First Battle of Independence,Independence,MO,39.0938,-94.4168,1862,8,11,1862,8,11,1,2,344,700-800,,,,,344,,,,,,,,,,,,
First Battle of Kernstown,Frederick County,VA,39.1431,-78.2058,1862,3,23,1862,3,23,1,1,6352-9000,4200,,450,22,118,590,375,263,80,718,,,,,,,,
First Battle of Lexington,Lexington,MO,39.1915,-93.878636,1861,9,12,1861,9,20,1,2,3500,15000,,117,3000,36,3153,120,,30,150,,,,,,,,
First Battle of Memphis,Mississippi River near Memphis,TN,35.1291,-90.1558,1862,6,6,1862,6,6,1,1,5 ironclads 2 rams,8 rams,,,,,1,,,,180,,,,,,,,
First Battle of Mesilla,Mesilla,NM,32.27204,-106.80359,1861,7,25,1861,7,25,1,2,380,300,,6,,3-13,9-19,7,,2,9,,,,,,,,
First Battle of Murfreesboro,Rutherford County,TN,35.847,-86.393,1862,7,13,1862,7,13,1,2,900,1400,,,,,890,,,,150,,,,,,,,
First Battle of Petersburg,Petersburg,VA,37.2038,-77.3831,1864,6,9,1864,6,9,1,2,4500,2500,,,,,40,,,,80,,,,,,,,
First Battle of Pocotaligo,Yemassee,SC,32.636944,-80.863333,1862,5,29,1862,5,29,1,1,,,,9,,2,11,6,1,2,9,,,,,,,,
First Battle of Rappahannock Station,Culpeper County,VA,38.5272,-77.8302,1862,8,22,1862,8,25,1,4,Brigades,Brigades,,,,,,,,,,,,,,,,,225
First Battle of Ream's Station,Dinwiddie County,VA,37.0959,-77.4226,1864,6,29,1864,6,29,1,2,4000,7000,,,,,,,,,,,,,,,,,600
First Battle of Sabine Pass,Jefferson County,TX,29.7359,-93.8711,1862,9,24,1862,9,25,1,1,2 schooners 1 steamship,28 artillerists 30 cavalry 4 guns,,,,,0,,,,0,,,,,,,,
First Battle of Saltville,Smyth County,VA,36.8857,-81.7592,1864,10,2,1864,10,2,1,2,5000,300,,,,,,,,,,,,,,,,,458
First Battle of Springfield,Springfield,MO,37.2035,-93.3205,1861,10,25,1861,10,25,1,1,326,1000-1500,,,,,85,,,,133,,,,,,,,
First Battle of Winchester,Frederick County,VA,39.1773,-78.1744,1862,5,25,1862,5,25,1,2,6500,16000,,,,,2019,,,,400,,,,,,,,
Jackson Expedition,Near Jackson,MS,32.298889,-90.184722,1863,7,5,1863,7,25,1,1,40000,30000,,800,100,100,1000,504,764,71,1339,,,,,,,,
Lawrence Massacre,Douglas County,KS,38.96427,-95.2359,1863,8,21,1863,8,21,1,2,0,400,,,,,164,,,,40,,,,,,,,
Manassas Station Operations,Prince William County,VA,38.7322,-77.5453,1862,8,25,1862,8,27,1,2,,,,,,,400-450,,,,173,,,,,,,,
Marais des Cygnes,Linn County,KS,38.2552,-94.6783,1864,10,25,1864,10,25,1,1,2600,7000,,,,,,,,,,,,,,,,,
Meridian Campaign,Lauderdale County,MS,32.3654,-88.7043,1864,2,14,1864,2,20,1,1,26847,,,,,,170,,,,,,,,,,,,
Naval Attacks on Fort McAllister,Bryan County,GA,31.89009,-81.19738,1863,1,27,1863,3,3,1,2,,,,,,,,,,,,,,,,,,,
New York Draft Riots,New York City,NY,40.716667,-74,1863,7,13,1863,7,16,,4,,,,,,,,,,,,,,,,,,120,2000
Sand Creek Massacre,Kiowa County,CO,38.547708,-102.50635,1864,11,29,1864,11,29,2,1,700,,200,52,,24,76,,,,,,,163,163,,,,
Second Battle of Auburn,Fauquier County,VA,38.70213,-77.70181,1863,10,14,1863,10,14,1,4,,3000,,,,,,,,,,,,,,,,,113
Second Battle of Bull Run,Prince William County,VA,38.81246,-77.52131,1862,8,28,1862,8,30,1,2,62000,50000,,8372,5958,1724,16054,7627,89,1481,9197,,,,,,,,
Second Battle of Cabin Creek,Cherokee Nation,OK,36.48899,-95.121603,1863,9,19,1863,9,19,1,2,1600,330,,38,,9,47,,26,20,46,,,,,,,,
Second Battle of Charleston Harbor,Charleston,SC,32.7524,-79.8749,1863,7,18,1863,9,7,1,4,,,,,,,358,,,,655,,,,,,,,
Second Battle of Chattanooga,Chattanooga,TN,35.0739,-85.3186,1863,8,21,1863,8,21,1,1,,,,,,,,,,,,,,,,,,,
Second Battle of Corinth,Corinth,MS,34.9406,-88.5306,1862,10,3,1862,10,4,1,1,23000,22000,,1841,324,355,2520,1997,1763,473,4233,,,,,,,,
