name,first_name,last_name,birth_city,birth_state,birth_country,death_city,death_state,death_country,year_start,year_end,birth_year,birth_month,birth_day,death_year,death_month,death_day
Fred E. Weary,Fred,E.,Montgomery,AL,USA,,,,1942,1942,1977,9,30,,,
James E. Williams,James,E.,Natchez,MS,USA,,,,2012,2013,1968,10,10,,,
James E. Williams,James,E.,Osceola,AR,USA,,,,2012,2013,1967,3,30,,,
John E. Thornton,John,E.,Flint,MI,USA,,,,1961,1970,1969,6,28,,,
Ken E. Brown,Ken,E.,Saginaw,MI,USA,,,,1920,1920,1954,4,19,,,
Ken E. Johnson,Ken,E.,Nashville,TN,USA,,,,1977,1977,1955,3,25,,,
Mark E. Bell,Mark,E.,Wichita,KS,USA,,,,1927,1929,1957,8,30,,,
Reggie E. White,Reggie,E.,Baltimore,MD,USA,,,,1994,2002,1970,3,22,,,
Robert E. Brown,Robert,E.,Bonita,LA,USA,Memphis,TN,,1920,1920,1940,2,22,1998,1,10
Robert E. Jackson,Robert,E.,Charlotte,NC,USA,,,,1994,1994,1953,4,1,,,
Robert E. Wilson,Robert,E.,South Park,TX,USA,,,,2012,2013,1969,1,13,,,
Robert E. Woods,Robert,E.,Florence,AL,USA,,,,1920,1920,1950,7,26,,,
Rod E. Jones,Rod,E.,Detroit,MI,USA,,,,1962,1962,1974,1,11,,,
Rod E. Jones,Rod,E.,Richmond,CA,USA,,,,1962,1962,1964,3,3,,,
Roy E. Williams,Roy,E.,Odessa,TX,USA,,,,2012,2013,1981,12,20,,,
Tony E. Jones,Tony,E.,Royston,GA,USA,,,,1962,1962,1966,5,24,,,
Tyrone E. Jones,Tyrone,E.,Ruston,LA,USA,,,,1962,1962,1966,11,9,,,
Nate Eachus,Nate,Eachus,,,,,,,2012,2012,1990,6,15,,,
James Eaddy,James,Eaddy,Queens,NY,USA,,,,1987,1987,1963,5,31,,,
Alex Eagle,Alex,Eagle,San Francisco,CA,USA,,,,1935,1935,1913,3,19,1999,3,5
Larry Eaglin,Larry,Eaglin,Raywood,TX,USA,,,,1935,1935,1948,8,27,,,
Kay Eakin,Kay,Eakin,Atkins,AR,USA,,,,1940,1946,1917,8,3,1993,2,15
Biren Ealy,Biren,Ealy,Clarksville,TN,USA,,,,2007,2009,1984,7,7,,,
Ralph Earhart,Ralph,Earhart,Milburn,OK,USA,,,,1948,1949,1923,3,29,1997,5,1
Glenn Earl,Glenn,Earl,Lisle,IL,USA,,,,1948,1949,1981,6,10,,,
Robin Earl,Robin,Earl,Boise,ID,USA,,,,1948,1949,1955,3,18,,,
Jim Earley,Jim,Earley,Dayton,OH,USA,,,,1948,1949,1956,1,23,,,
Guy Early,Guy,Early,Wilmington,OH,USA,,,,1948,1949,1892,10,31,1968,8,29
Quinn Early,Quinn,Early,West Hempstead,NY,USA,,,,1948,1949,1965,4,13,,,
