name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Jeff Farmer,New York City,New York,US,,,,[wcw],1962,8,14,,,,m
Jeff Gaylord,Columbus,Ohio,US,,,US,[nwa],1958,10,15,,,,m
Jeff Hardy,Cameron,North Carolina,US,,,,"[wwe, tna]",1977,8,31,,,,m
Jeff Jarrett,Hendersonville,Tennessee,US,,,,"[wwe, wcw]",1967,4,14,,,,m
Jerry Blackwell,,,US,,,US,"[nwa, awa]",1949,4,26,1995,1,22,m
Jerry Flynn,Tampa,Florida,US,,,US,[wcw],1959,11,21,,,,m
Jerry Jarrett,Nashville,Tennessee,US,,,US,[tna],1942,9,4,,,,m
Jerry Lawler,Memphis,Tennessee,US,,,,"[wwe, ecw, nwa, awa]",1949,11,29,,,,m
Jerry Lynn,Minneapolis,Minnesota,US,,,US,"[wwe, ecw, awa]",1963,6,12,,,,m
Jerry Sags,Allentown,Pennsylvania,US,,,,[wwe],1964,7,5,,,,m
Jerry Tuite,Ocean Grove,New Jersey,US,Tokyo,,JP,"[ecw, tna]",1966,12,27,2003,12,6,m
Jersey Joe Walcott,Merchantville,New Jersey,US,Camden,New Jersey,US,[sta],1914,1,31,1994,2,25,m
Jesse Neal,Orlando,Florida,US,,,,[tna],1980,4,10,,,,m
Jesse Ventura,Minneapolis,Minnesota,US,,,US,"[wwe, nwa, awa, wcw]",1951,7,15,,,,m
Jessie Godderz,Rudd,Iowa,US,,,US,[tna],1986,4,23,,,,m
Jesús Castillo Jr.,,,PR,,,,[wwe],1962,7,15,,,,m
Jillian Hall,Ashland,Kentucky,US,,,,[wwe],1980,9,6,,,,f
Jim Brunzell,,,US,,,,"[wwe, nwa, awa]",1949,8,13,,,,m
Jim Duggan,Glens Falls,New York,US,,,,"[wwe, nwa, tna, wcw]",1954,1,14,,,,m
Jim Korderas,Toronto,Ontario,CA,,,,[wwe],1962,3,19,,,,m
