name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Marv Schatzman,,,US,,,,1927,2,18,2006,9,19
Mike O'Neill,,,US,,,,1927,,,,,
Normie Glick,,,US,,,,1927,11,10,1989,3,19
Paul Gordon,,,US,,,,1927,4,8,2002,11,2
Ray Ellefson,,,US,,,,1927,11,18,1994,10,7
George Yardley,Hollywood,California,US,Newport Beach,California,US,1928,11,3,2004,8,13
Vern Mikkelsen,Parlier,California,US,Wayzata,Minnesota,US,1928,10,21,2013,11,21
Don Lofgran,Oakland,California,US,Salt Lake City,Utah,US,1928,11,18,1976,6,17
Alan Sawyer,Long Beach,California,US,Sequim,Washington,US,1928,1,1,2012,6,30
Mel Hutchins,Sacramento,California,US,,,,1928,11,22,,,
Bato Govedarica,Chicago,Illinois,US,Hinsdale,Illinois,US,1928,4,17,2006,3,13
Al Miksis,Chicago,Illinois,US,Eugene,Oregon,US,1928,2,2,2009,11,6
Jerry Nagel,Chicago,Illinois,US,,,,1928,5,18,1999,2,2
Wally Osterkorn,Chicago,Illinois,US,,,,1928,7,6,2012,1,11
John Hazen,Terre Haute,Indiana,US,Phoenix,Arizona,US,1928,3,2,1998,10,21
Ralph O'Brien,Henshaw,Kentucky,US,,,,1928,4,8,,,
Phil Martin,Jackson,Michigan,US,Dallas,Texas,US,1928,4,2,2008,6,24
Ed Macauley,St. Louis,Missouri,US,St. Louis,Missouri,US,1928,3,22,2011,11,8
Ken Murray,West Orange,New Jersey,US,Montclair,New Jersey,US,1928,4,20,2008,6,15
Tommy O'Keefe,Jersey City,New Jersey,US,Fredericksburg,Virginia,US,1928,6,3,2015,10,18
James Luisi,East Harlem,New York,US,Los Angeles,California,US,1928,11,11,2002,6,7
Jack McMahon,Brooklyn,New York,US,Chicago,Illinois,US,1928,12,3,1989,6,11
Don Savage,Manlius,New York,US,Basking Ridge,New Jersey,US,1928,4,9,2010,1,27
Ray Corley,New York City,New York,US,Suffolk County,New York,US,1928,1,1,2007,2,5
Dolph Schayes,The Bronx,New York,US,Syracuse,New York,US,1928,5,19,2015,12,10
Al McGuire,New York City,New York,US,Milwaukee,Wisconsin,US,1928,9,7,2001,1,26
Bob Cousy,Manhattan,New York,US,,,,1928,8,9,,,
George Kaftan,New York City,New York,US,,,,1928,2,22,,,
Paul Seymour,Toledo,Ohio,US,Jensen Beach,Florida,US,1928,1,30,1998,5,5
Chuck Grigsby,Dayton,Ohio,US,Kettering,Ohio,US,1928,8,15,2003,7,15
Larry Foust,Painesville,Ohio,US,Pittsburgh,Pennsylvania,US,1928,6,24,1984,10,27
Joe Bradley,Washington,Oklahoma,US,,,,1928,9,24,1987,6,5
Paul Arizin,Philadelphia,Pennsylvania,US,Springfield Township,Delaware,US,1928,4,9,2006,12,12
Jack George,Swissvale,Pennsylvania,US,,,,1928,11,13,1989,1,30
Ernie Vandeweghe,Montreal,Quebec,CA,Newport Beach,California,US,1928,9,12,2014,11,8
Jim Slaughter,Roanoke,Virginia,US,Central,South Carolina,US,1928,5,13,1999,8,2
Earl Lloyd,Alexandria,Virigina,US,Crossville,Tennessee,US,1928,4,3,2015,2,26
George King,Charleston,West Virginia,US,Naples,Florida,US,1928,8,16,2006,10,5
Al Masino,,,US,,,,1928,2,5,2006,8,16
Bucky McConnell,,,US,,,,1928,7,1,,,
Danny Finn,,,US,,,,1928,5,29,2007,2,18
Dermie O'Connell,,,US,,,,1928,4,13,1988,10,5
Don Asmonga,,,US,,,,1928,2,15,2014,1,13
Joe Hutton,,,US,,,,1928,10,6,2009,10,19
John O'Boyle,,,US,,,,1928,3,7,,,
Ray Ragelis,,,US,,,,1928,12,10,1983,9,19
Sherwin Raiken,,,US,,,,1928,10,29,2009,1,16
Bob Knight,Hartford,Connecticut,US,Springfield,Massachusetts,US,1929,4,30,2008,5,23
John Rennicke,Aurora,Illinois,US,Perham,Minnesota,US,1929,8,11,2007,12,9
Don Sunderlage,Roselle,Illinois,US,Lake Geneva,Wisconsin,US,1929,12,20,1961,7,15
Elmer Behnke,Rockford,Illinois,US,,,,1929,2,3,,,
Ken McBride,Centralia,Illinois,US,,,,1929,3,23,2005,5,14
Lew Hitch,Griggsville,Illinois,US,,,,1929,7,16,2012,2,8
Clyde Lovellette,Petersburg,Indiana,US,North Manchester,Indiana,US,1929,9,7,2016,3,9
Ernie Barrett,Pratt,Kansas,US,,,,1929,8,27,,,
Herb Scherer,Maplewood,New Jersey,US,Roswell,Georgia,US,1929,12,21,2012,6,28
Jack Kiley,Newark,New Jersey,US,Baltimore,Maryland,US,1929,1,5,1982,2,16
